index,Consumption,Solar,Wind
2020-01-01T13:00:00.0,26.514688889000002,0.0,40.59
2020-01-01T14:00:00.0,28.32696,0.0,67.86
2020-01-01T15:00:00.0,23.682206667,0.0,116.68
2020-01-01T16:00:00.0,25.354782221999997,0.0,120.22
2020-01-01T17:00:00.0,23.861942222,0.0,109.86
2020-01-01T18:00:00.0,36.872877778,0.0,71.79
2020-01-01T19:00:00.0,56.87612,0.0,55.29
2020-01-01T20:00:00.0,23.773335556,0.0,14.8
2020-01-01T21:00:00.0,20.893793332999998,0.0,5.78
2020-01-01T22:00:00.0,19.516568889000002,0.0,9.8
2020-01-01T23:00:00.0,19.831782222,0.0,0.0
2020-01-02T00:00:00.0,13.06596,0.0,24.45
2020-01-02T01:00:00.0,13.91483,0.0,57.05
2020-01-02T02:00:00.0,14.094724444,0.0,68.15
2020-01-02T03:00:00.0,14.121581111,0.0,69.37
2020-01-02T04:00:00.0,13.452862222,0.0,42.16
2020-01-02T05:00:00.0,12.230606667,0.0,0.64
2020-01-02T06:00:00.0,13.14819,0.0,0.0
2020-01-02T07:00:00.0,22.488204444,0.0,0.0
2020-01-02T08:00:00.0,18.859188889000002,0.0,0.0
2020-01-02T09:00:00.0,20.747666667,0.0,0.0
2020-01-02T10:00:00.0,20.330822222000002,0.0,0.0
2020-01-02T11:00:00.0,14.92799,0.0,0.0
2020-01-02T12:00:00.0,20.86298,0.0,1.69
2020-01-02T13:00:00.0,17.383381111,0.0,7.92
2020-01-02T14:00:00.0,22.348466666999997,0.0,7.5
2020-01-02T15:00:00.0,22.975044444,0.0,17.45
2020-01-02T16:00:00.0,18.672628889000002,0.0,40.8
2020-01-02T17:00:00.0,14.09666,0.0,33.31
2020-01-02T18:00:00.0,21.344115556,0.0,26.5
2020-01-02T19:00:00.0,50.751791111,0.0,23.67
2020-01-02T20:00:00.0,24.269895555999998,0.0,16.81
2020-01-02T21:00:00.0,18.650737778,0.0,18.66
2020-01-02T22:00:00.0,18.945888889000003,0.0,23.45
2020-01-02T23:00:00.0,17.457414444,0.0,3.98
2020-01-03T00:00:00.0,15.366742222000001,0.0,0.0
2020-01-03T01:00:00.0,16.195011111,0.0,0.0
2020-01-03T02:00:00.0,17.333391110999997,0.0,4.28
2020-01-03T03:00:00.0,16.207226667,0.0,4.1
2020-01-03T04:00:00.0,14.950342222,0.0,12.94
2020-01-03T05:00:00.0,16.155118889,0.0,2.64
2020-01-03T06:00:00.0,18.004576667000002,0.0,0.0
2020-01-03T07:00:00.0,22.00952,0.0,20.16
2020-01-03T08:00:00.0,19.902315555999998,0.0,3.38
2020-01-03T09:00:00.0,25.006562222,0.0,0.0
2020-01-03T10:00:00.0,26.197182222,0.0,0.0
2020-01-03T11:00:00.0,22.549264444000002,0.0,8.21
2020-01-03T12:00:00.0,22.557342222,0.0,0.0
2020-01-03T13:00:00.0,25.6522,0.0,23.25
2020-01-03T14:00:00.0,26.00156,0.0,93.54
2020-01-03T15:00:00.0,24.703797778000002,0.0,116.21
2020-01-03T16:00:00.0,18.368715555999998,0.0,130.48
2020-01-03T17:00:00.0,13.669488889,0.0,77.88
2020-01-03T18:00:00.0,47.114977778000004,0.0,98.22
2020-01-03T19:00:00.0,25.631106666999997,0.0,89.62
2020-01-03T20:00:00.0,23.432417778,0.0,34.97
2020-01-03T21:00:00.0,22.745493333000002,0.0,31.56
2020-01-03T22:00:00.0,23.600746667,0.0,30.97
2020-01-03T23:00:00.0,27.406755556,0.0,20.4
2020-01-04T00:00:00.0,21.823962222,0.0,41.54
2020-01-04T01:00:00.0,24.119471111,0.0,33.41
2020-01-04T02:00:00.0,20.456571111,0.0,20.43
2020-01-04T03:00:00.0,21.672597778000004,0.0,1.69
2020-01-04T04:00:00.0,18.310847778,0.0,0.39
2020-01-04T05:00:00.0,19.476286667,0.0,3.76
